nouns,noun_tag,verbs,verb_tag,adjectives,adjective_tag,adverbs,adverb_tag,pronouns,pronoun_tag,prepositions,preposition_tag,determiners,determiner_tag,conjunctions,conjunction_tag,numerals,numeral_tag,modals,modal_tag,interjections,interjection_tag,tos,to_tag,wh_determiners,wh_determiner_tag,wh_pronouns,wh_pronoun_tag
Nigga,NN,Spoiled,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Ayo,NNP,Leave,VB,,,,,,,,,,,,,,,,,,,,,,,,
Big,NNP,Y,VB,,,,,,,,,,,,,,,,,,,,,,,,
Waaaaay,NNP,Drink,VB,,,,,,,,,,,,,,,,,,,,,,,,
Imagine,NNP,Yo,VB,,,,,,,,,,,,,,,,,,,,,,,,
Alright,NNP,Aiming,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Q,NNP,Grown,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Granny,NNP,Made,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Yah,NNP,Seen,VB,,,,,,,,,,,,,,,,,,,,,,,,
Drink,NNP,Frightening,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Hear,NNP,Forgetting,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Man,NNP,Build,VB,,,,,,,,,,,,,,,,,,,,,,,,
Pour,NNP,Stuck,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Duckin,NNP,Making,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Mount,NNP,Salute,VB,,,,,,,,,,,,,,,,,,,,,,,,
Christmas,NNP,Shoved,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Burners,NNS,Married,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Bad,NNP,Accumulated,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Pain,NN,Visiting,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Tire,NN,Snatch,VB,,,,,,,,,,,,,,,,,,,,,,,,
Mo,NNP,Pretend,VB,,,,,,,,,,,,,,,,,,,,,,,,
Fix,NNP,Call,VB,,,,,,,,,,,,,,,,,,,,,,,,
Nazareth,NNP,Running,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Promise,NN,Talented,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Cartoons,NNS,Run,VB,,,,,,,,,,,,,,,,,,,,,,,,
Sounwave,NNP,Acting,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Relocate,NNP,Manipulated,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Jimi,NNP,Go,VB,,,,,,,,,,,,,,,,,,,,,,,,
Knock,NNP,Play,VB,,,,,,,,,,,,,,,,,,,,,,,,
Retaliation,NN,Eating,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Crew,NNP,Walking,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Rock,NN,Looked,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Bitches,NNP,Spend,VB,,,,,,,,,,,,,,,,,,,,,,,,
Banks,NNS,King,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Sorry,NNP,Building,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Surround,NNP,Destroyed,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Barefoot,NNP,Excuse,VB,,,,,,,,,,,,,,,,,,,,,,,,
West,NNP,Hopping,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Reason,NNP,Need,VB,,,,,,,,,,,,,,,,,,,,,,,,
Thug,NNP,Enthused,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Swerve,NNP,Known,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Drop,NN,Hopped,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Marshmallows,NNP,Hide,VB,,,,,,,,,,,,,,,,,,,,,,,,
Granddaddy,NNP,Cause,VB,,,,,,,,,,,,,,,,,,,,,,,,
Yours,NNS,Nothing,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Hands,NNS,Let,VB,,,,,,,,,,,,,,,,,,,,,,,,
Suck,NNP,Come,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Nah,NNP,Darling,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Pimp,NNP,Crawled,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Walls,NNS,Bet,VB,,,,,,,,,,,,,,,,,,,,,,,,
Hood,NNP,Anything,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Lace,NNP,Crooked,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Cool,NNP,Show,VB,,,,,,,,,,,,,,,,,,,,,,,,
Pop,NNP,Listen,VB,,,,,,,,,,,,,,,,,,,,,,,,
Fancy,NNP,Telling,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Lightnin,NNP,Something,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Johnny,NNP,Produced,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Scholars,NNS,Introverted,VBN,,,,,,,,,,,,,,,,,,,,,,,,
CSI,NNP,Tossed,VBN,,,,,,,,,,,,,,,,,,,,,,,,
